"ID","Gender","Country","FX","HB","PB","PH","SR","VT","BB","UB"
"aas_fredrick","m","NOR",0.4,0.737011080875541,1.17803989745679,0.671405490991348,0.4,0.4,NA,NA
"abad_nestor","m","ESP",0.737694155234178,0.276718629658359,0.236880218877048,0.997138011654212,0.427351273674376,0.396293031312269,NA,NA
"abbadini_yumin","m","ITA",0.157491304874622,1.23576699039319,0.713871303594169,0.660335910845015,0.17878478682483,0.165164665309099,NA,NA
"abdelhaleem_abdelrahman","m","EGY",0.4,0.402970635820196,0.4,0.715280923833426,0.4,0.4,NA,NA
"abdelrahman_ahmed","m","EGY",0.79021939991372,0.117379725676966,0.878437248754855,0.528832676751352,0.4,0.392310931107797,NA,NA
"abdelsalam_jana","w","EGY",0.393470032742859,NA,NA,NA,NA,0.0473761543394988,0.925418013656531,1.57535704191901
"abdul_hadi","w","MAS",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"abdul_hadi_farah_ann","w","MAS",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"abdullah_ally_hamuda","m","MAS",0.4,0.4,0.4,0.4,2.42749757981342,0.4,NA,NA
"abdullahi_ayesha","w","GBR",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"abdurakhimov_rasuljon","m","UZB",0.4,0.589831812186039,0.897770280903042,0.520861145924068,0.0473761543394988,0.4,NA,NA
"abesadze_saba","m","GEO",0.605329469517771,0.4,0.604418398131625,0.640870436723888,0.400423421725885,0.4,NA,NA
"abeyratne_kumudi_imanya","w","SRI",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"abiyurafi_","m","INA",0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
"aboelhasan_jana","w","EGY",1.14268455839746,NA,NA,NA,NA,0.4,0,0.4
"abreu_yamilet","w","DOM",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"abu_al_soud_ahmad","m","JOR",0.4,0.4,0.4,1.12268655960206,0.4,0.4,NA,NA
"achampong_ondine","w","GBR",0.426395143243703,NA,NA,NA,NA,0.201970339856668,0.390325457150824,0.578126572069934
"achondo_andino_barbara","w","CHI",0.252302794277035,NA,NA,NA,NA,0.0240416305603431,0.0840416563377947,1.66362946595689
"acuna_francisco","m","CRC",0.141421356237309,0.189296944860009,0.0707106781186545,0.0707106781186558,0.0707106781186558,0.0707106781186545,NA,NA
"adalsteinsdottir_thelma","w","ISL",0.589824267614234,NA,NA,NA,NA,0.12348380460611,0.496379559074169,0.551941044556995
"adamson_jess","w","GBR",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"adapa_karthik","m","CAY",0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
"adlerteg_jonna","w","SWE",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"afify_mohamed","m","EGY",0.0671788657242742,0.638844529861009,0.429995381112144,1.10694480440535,0.134357731448547,0.0707106781186545,NA,NA
"afzal_muhammad","m","PAK",0.4,0.4,0.4,0.4,0.4,0.247487373415293,NA,NA
"agostinelli_santiago","m","ARG",0.335239218071712,0.0707106781186545,0.470933116270241,0.4,0.0509542278258961,1.05910166336067,NA,NA
"ah_chow_justin","m","USA",0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
"ahmad_kohani_mahdi","m","IRI",0.4,0.4,0.4,0.4,0.471085035966025,0.4,NA,NA
"ahmed_shishir","m","BAN",0.4,0.4,0.4,0.4,0.4,0.346410161513775,NA,NA
"aimy_muhammad_sharul","m","MAS",1.93252283298283,0.4,0.4,1.17082435346497,0.4,0.580752141623257,NA,NA
"akhaimova_liliia","w","ROC",0,NA,NA,NA,NA,0.0572151328633557,0,0
"akhmejanov_emil","m","KAZ",4.68742999947733,1.48242953739236,0.275450176983061,3.63567916626316,0.306884343034961,0.568939003535168,NA,NA
"akhmejanov _akhmejanov ","m","KAZ",0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
"alarcon_daniel","m","PER",0.494974746830583,0.0233345237791557,0.165462986797652,1.13137084989848,0.424264068711928,0.707106781186548,NA,NA
"alarcon_luque_edward_daniel","m","PER",0.4,0.4,0.4,0.4,0.4,0.4,NA,NA
"alba_rodriguez_nashely_esmeralda","w","DOM",0.4,NA,NA,NA,NA,0.4,0.4,0.4
"aldaoud_ruba","w","JOR",0.4,NA,NA,NA,NA,1.15541248045882,0.4,0.4
"aleksandrov_yordan","m","BUL",0.564516932134606,0.437281095418332,0.989426343398532,1.06608451822546,0.222594362013058,0.961749967507147,NA,NA
