"ID","Gender","Country","App","Mean","Stddev"
"_daria","w","SUI","BB",NA,0.4
"_daria","w","SUI","FX",NA,0.4
"_daria","w","SUI","HB",NA,NA
"_daria","w","SUI","PB",NA,NA
"_daria","w","SUI","PH",NA,NA
"_daria","w","SUI","SR",NA,NA
"_daria","w","SUI","UB",NA,0.4
"_daria","w","SUI","VT",12.2165,0.164755880016466
"_kate","w","AUS","BB",12.383,1.45204648685915
"_kate","w","AUS","FX",NA,0.4
"_kate","w","AUS","HB",NA,NA
"_kate","w","AUS","PB",NA,NA
"_kate","w","AUS","PH",NA,NA
"_kate","w","AUS","SR",NA,NA
"_kate","w","AUS","UB",13.3663333333333,0.775191804222242
"_kate","w","AUS","VT",NA,0.4
"aas_fredrick","m","NOR","BB",NA,NA
"aas_fredrick","m","NOR","FX",12.566,0.4
"aas_fredrick","m","NOR","HB",12.033,1.03661854121948
"aas_fredrick","m","NOR","PB",12.466,0.4
"aas_fredrick","m","NOR","PH",11.933,0.377595021153616
"aas_fredrick","m","NOR","SR",11.866,0.4
"aas_fredrick","m","NOR","UB",NA,NA
"aas_fredrick","m","NOR","VT",12.966,0.4
"abad_nestor","m","ESP","BB",NA,NA
"abad_nestor","m","ESP","FX",12.9532,0.611397333981757
"abad_nestor","m","ESP","HB",13.5608888888889,0.219949678588333
"abad_nestor","m","ESP","PB",14.1165,0.223969417555165
"abad_nestor","m","ESP","PH",12.1275,1.0768717193798
"abad_nestor","m","ESP","SR",13.5725,0.477740515342795
"abad_nestor","m","ESP","UB",NA,NA
"abad_nestor","m","ESP","VT",13.6066,0.402327975661648
"abbadini_yumin","m","ITA","BB",NA,NA
"abbadini_yumin","m","ITA","FX",13.7216666666667,0.165520592877946
"abbadini_yumin","m","ITA","HB",12.8854285714286,1.43514248504494
"abbadini_yumin","m","ITA","PB",13.2598,0.765173967147341
"abbadini_yumin","m","ITA","PH",13.745375,0.561098396642056
"abbadini_yumin","m","ITA","SR",13.2596,0.190595907616087
"abbadini_yumin","m","ITA","UB",NA,NA
"abbadini_yumin","m","ITA","VT",13.69125,0.136985096512966
"abdelhaleem_abdelrahman","m","EGY","BB",NA,NA
"abdelhaleem_abdelrahman","m","EGY","FX",12,0.4
"abdelhaleem_abdelrahman","m","EGY","HB",12.766,0.4
"abdelhaleem_abdelrahman","m","EGY","PB",12.4,0.4
"abdelhaleem_abdelrahman","m","EGY","PH",13.3106666666667,0.699846649869336
"abdelhaleem_abdelrahman","m","EGY","SR",NA,0.4
"abdelhaleem_abdelrahman","m","EGY","UB",NA,NA
"abdelhaleem_abdelrahman","m","EGY","VT",NA,0.4
"abdelrahman_ahmed","m","EGY","BB",NA,NA
"abdelrahman_ahmed","m","EGY","FX",8.133,6.69730460707888
"abdelrahman_ahmed","m","EGY","HB",12.966,0.4
"abdelrahman_ahmed","m","EGY","PB",13.233,0.329511760032931
"abdelrahman_ahmed","m","EGY","PH",12.616,0.777817459305202
"abdelrahman_ahmed","m","EGY","SR",NA,0.4
"abdelrahman_ahmed","m","EGY","UB",NA,NA
"abdelrahman_ahmed","m","EGY","VT",13.46625,0.362879571391575
"abdelsalam_jana","w","EGY","BB",11.9996666666667,0.83881932897774
"abdelsalam_jana","w","EGY","FX",11.816,0.0707106781186545
"abdelsalam_jana","w","EGY","HB",NA,NA
"abdelsalam_jana","w","EGY","PB",NA,NA
"abdelsalam_jana","w","EGY","PH",NA,NA
"abdelsalam_jana","w","EGY","SR",NA,NA
"abdelsalam_jana","w","EGY","UB",10.9663333333333,1.74216024903949
"abdelsalam_jana","w","EGY","VT",12.333,0.4
"abdul_hadi","w","MAS","BB",11.566,0.4
"abdul_hadi","w","MAS","FX",12.233,0.4
"abdul_hadi","w","MAS","HB",NA,NA
"abdul_hadi","w","MAS","PB",NA,NA
"abdul_hadi","w","MAS","PH",NA,NA
"abdul_hadi","w","MAS","SR",NA,NA
"abdul_hadi","w","MAS","UB",11.6,0.4
"abdul_hadi","w","MAS","VT",13.166,0.4
"abdul_hadi_farah_ann","w","MAS","BB",11.566,0.4
"abdul_hadi_farah_ann","w","MAS","FX",12.233,0.4
"abdul_hadi_farah_ann","w","MAS","HB",NA,NA
"abdul_hadi_farah_ann","w","MAS","PB",NA,NA
"abdul_hadi_farah_ann","w","MAS","PH",NA,NA
"abdul_hadi_farah_ann","w","MAS","SR",NA,NA
"abdul_hadi_farah_ann","w","MAS","UB",11.6,0.4
"abdul_hadi_farah_ann","w","MAS","VT",NA,0.4
"abdullah_ally_hamuda","m","MAS","BB",NA,NA
"abdullah_ally_hamuda","m","MAS","FX",NA,0.4
"abdullah_ally_hamuda","m","MAS","HB",NA,0.4
"abdullah_ally_hamuda","m","MAS","PB",NA,0.4
"abdullah_ally_hamuda","m","MAS","PH",NA,0.4
"abdullah_ally_hamuda","m","MAS","SR",9.933,0.4
